,id,Placering,Huvudman,Drift,Typ,Modell,Stadsdelsnämnder,Anläggningsnummer,Cykelpump,Dricksfontän,geometry,geometry_centroid,lon,lat
0,102,Axel Landquist Park - Åsögatan 146,TK,Danfo,Urinoar,Urinoar,Södermalm,G101,Nej,Nej,POINT (154608.7594 6577634.8184),POINT (18.080924465084877 59.31385648456923),18.080924465084877,59.31385648456923
1,104,Strömparterren 3,TK,Danfo,Toalett,Övrigt,Södermalm,G079,Nej,Nej,POINT (153988.8396 6579271.2633),POINT (18.070069625205587 59.32855249980979),18.070069625205587,59.32855249980979
2,105,Fjällgatan   Södermalm,TK,Miljötekniska,Toalett,Enkel,Södermalm,G085,Nej,Nej,POINT (154957.1487 6578024.6099),POINT (18.08705071163269 59.317351546264845),18.08705071163269,59.317351546264845
3,106,Folkungagatan 82 - Parkleken Droskan,TK,Miljötekniska,Urinoar,Urinoar,Södermalm,G105,Nej,Nej,POINT (154510.3 6577769.0036),POINT (18.079198435058455 59.315062074451966),18.079198435058455,59.315062074451966
4,107,Frödingsvägen 12,TK,Miljötekniska,Toalett,Enkel,Kungsholmen,G084,Nej,Nej,POINT (150164.1672 6579432.3696),POINT (18.002883953488762 59.33001748556062),18.002883953488762,59.33001748556062
5,108,Klara Mälarstrand 4 - Stadshuskajen,TK,Miljötekniska,Toalett,Trippel,Norra innerstaden,G087,Nej,Nej,POINT (153303.9655 6579199.8962),POINT (18.05803775589566 59.32791777800175),18.05803775589566,59.32791777800175
6,109,Kronobergsgatan 11 - Kronobergsparken,TK,Miljötekniska,Urinoar,Urinoar,Kungsholmen,G108,Nej,Nej,POINT (151911.8584 6579707.7488),POINT (18.03358838189937 59.33248515742837),18.03358838189937,59.33248515742837
7,110,Kroppaplan,TK,Miljötekniska,Urinoar,Urinoar,Farsta,G109,Nej,Nej,POINT (155322.0696 6569850.568),POINT (18.093258094572644 59.24397158949911),18.093258094572644,59.24397158949911
8,111,Källargränd 4,TK,Miljötekniska,Urinoar,Urinoar,Södermalm,G110,Nej,Nej,POINT (154045.5999 6578936.6246),POINT (18.07106042888638 59.3255480452048),18.07106042888638,59.3255480452048
9,112,Liljeholmsgränd 17,TK,Miljötekniska,Urinoar,Urinoar,Hägersten-Älvsjö,G111,Nej,Nej,POINT (151210.7514 6577252.4688),POINT (18.0212572585575 59.31044766938977),18.0212572585575,59.31044766938977
10,113,"Mikrofonvägen
4",TK,Miljötekniska,Urinoar,Urinoar,Hägersten-Älvsjö,G112,Nej,Nej,POINT (149829.4579 6575835.7961),POINT (17.997006895962013 59.29773242198956),17.997006895962013,59.29773242198956
11,114,Nioörtsvägen 24,TK,Miljötekniska,Urinoar,Urinoar,Hägersten-Älvsjö,G113,Nej,Nej,POINT (150945.6754 6576265.8941),POINT (18.01659898330466 59.30159223232426),18.01659898330466,59.30159223232426
12,115,Palmfeltsvägen 28 ,TK,Miljötekniska,Urinoar,Urinoar,Enskede-Årsta-Vantör,G115,Nej,Nej,POINT (153993.2699 6574957.1557),POINT (18.070067753960785 59.28982636935906),18.070067753960785,59.28982636935906
13,116,Skidvägen 11,TK,Miljötekniska,Urinoar,Urinoar,Hägersten-Älvsjö,G116,Nej,Nej,POINT (148644.7869 6575448.7554),POINT (17.97621771890933 59.2942559600224),17.97621771890933,59.2942559600224
14,117,Sockenplan 370,TK,Miljötekniska,Urinoar,Urinoar,Enskede-Årsta-Vantör,G118,Nej,Nej,POINT (154030.0872 6574222.0872),POINT (18.07070008382124 59.28322756935224),18.07070008382124,59.28322756935224
15,118,Trollesundsvägen 16 (under tåg bron),TK,Miljötekniska,Urinoar,Urinoar,Farsta,G120,Nej,Nej,POINT (152826.6066 6572759.6483),POINT (18.049568275705965 59.27010949477258),18.049568275705965,59.27010949477258
16,119,Valhallavägen/ Drottning Sofias väg - i allén,TK,Miljötekniska,Urinoar,Urinoar,Östermalm,G121,Nej,Nej,POINT (154363.7617 6581037.587),POINT (18.076691381537394 59.34440433427465),18.076691381537394,59.34440433427465
17,120,Olof Palmes Gata 31 - Norra bantorget,TK,Miljötekniska,Urinoar,Urinoar,Norrmalm,G114,Nej,Nej,POINT (153105.3309 6579946.6593),POINT (18.0545592685505 59.334622669691036),18.0545592685505,59.334622669691036
18,121,"Västertorpsvägen 70 
(utanför T-bannan)",TK,Miljötekniska,Urinoar,Urinoar,Hägersten-Älvsjö,G122,Nej,Nej,POINT (148006.696 6575034.1308),POINT (17.965023849142572 59.29053149686092),17.965023849142572,59.29053149686092
19,122,Ellen Keys gata 46,TK,Miljötekniska,Urinoar,Urinoar,Hägersten-Älvsjö,G104,Nej,Nej,POINT (148017.8112 6574524.1853),POINT (17.965223554880616 59.28595394658388),17.965223554880616,59.28595394658388
20,123,Skarpskyttestigen 6 - Tantobadet,TK,Danfo,Toalett,Övrigt,Södermalm,G081,Nej,Nej,POINT (152172.8549 6577506.0912),POINT (18.03815153258516 59.3127204905019),18.03815153258516,59.3127204905019
21,124,Skånegatan 70,TK,Miljötekniska,Urinoar,Urinoar,Södermalm,G117,Nej,Nej,POINT (154342.2049 6577411.6789),POINT (18.076239598999415 59.31185627057189),18.076239598999415,59.31185627057189
22,125,Djurgårdsvägen 60,TK,Miljötekniska,Urinoar,Urinoar,Norra innerstaden,G103,Nej,Nej,POINT (155439.5131 6578989.7918),POINT (18.09554563546132 59.32600965859614),18.09554563546132,59.32600965859614
23,126,Karlavägen 40,TK,Miljötekniska,Urinoar,Urinoar,Östermalm,G107,Nej,Nej,POINT (154476.1122 6580542.854),POINT (18.078655627104702 59.33996215325416),18.078655627104702,59.33996215325416
24,127,Söder Mälarstrand 115 - Under Västerbron,TK,Miljötekniska,Urinoar,Urinoar,Södermalm,G119,Nej,Nej,POINT (151794.8366 6578250.3745),POINT (18.03152037631665 59.319403407075),18.03152037631665,59.319403407075
25,128,Rågsved T-station,TK,Miljötekniska,Urinoar,Urinoar,Farsta,G115,Nej,Nej,POINT (151609.4749 6571219.558),POINT (18.028212839249797 59.2562909637707),18.028212839249797,59.2562909637707
26,129,Hamngatan 2 - Nybroplan,Danfo,Danfo,Toalett,Dubbel,Norra innerstaden,G055,Ja,Ja,POINT (154284.9766 6579752.7629),POINT (18.075281245450324 59.33287182212577),18.075281245450324,59.33287182212577
27,131,Akallastigen 6 - Akalla By,Danfo,Danfo,Toalett,Enkel,Järva,G099,Nej,Nej,POINT (144969.6893 6588700.8735),POINT (17.91141510862351 59.41318653073105),17.91141510862351,59.41318653073105
28,133,Husbystigen 9 - Husby Gård,Danfo,Danfo,Toalett,Enkel,Järva,G098,Nej,Nej,POINT (145382.0182 6588037.6566),POINT (17.918690571292796 59.40723790591508),17.918690571292796,59.40723790591508
29,136,Mälartorget 19,Danfo,Danfo,Toalett,Dubbel,Södermalm,G049,Nej,Ja,POINT (153934.0625 6578623.4593),POINT (18.069095585536243 59.32273794019752),18.069095585536243,59.32273794019752
30,137,Slottsbacken/Österlånggatan,Danfo,Danfo,Toalett,Trippel,Södermalm,G053,Ja,Nej,POINT (154159.6391 6579000.8924),POINT (18.073064748658403 59.32612384370555),18.073064748658403,59.32612384370555
