id,Placering,Huvudman,Drift,Typ,Modell,Stadsdelsnämnder,Anläggningsnummer,Cykelpump,Dricksfontän,lon,lat
102,Axel Landquist Park - Åsögatan 146,TK,Danfo,Urinoar,Urinoar,Södermalm,G101,Nej,Nej,18.080924465084877,59.31385648456923
104,Strömparterren 3,TK,Danfo,Toalett,Övrigt,Södermalm,G079,Nej,Nej,18.070069625205587,59.32855249980979
105,Fjällgatan   Södermalm,TK,Miljötekniska,Toalett,Enkel,Södermalm,G085,Nej,Nej,18.08705071163269,59.317351546264845
106,Folkungagatan 82 - Parkleken Droskan,TK,Miljötekniska,Urinoar,Urinoar,Södermalm,G105,Nej,Nej,18.079198435058455,59.315062074451966
107,Frödingsvägen 12,TK,Miljötekniska,Toalett,Enkel,Kungsholmen,G084,Nej,Nej,18.002883953488762,59.33001748556062
108,Klara Mälarstrand 4 - Stadshuskajen,TK,Miljötekniska,Toalett,Trippel,Norra innerstaden,G087,Nej,Nej,18.05803775589566,59.32791777800175
109,Kronobergsgatan 11 - Kronobergsparken,TK,Miljötekniska,Urinoar,Urinoar,Kungsholmen,G108,Nej,Nej,18.03358838189937,59.33248515742837
110,Kroppaplan,TK,Miljötekniska,Urinoar,Urinoar,Farsta,G109,Nej,Nej,18.093258094572644,59.24397158949911
111,Källargränd 4,TK,Miljötekniska,Urinoar,Urinoar,Södermalm,G110,Nej,Nej,18.07106042888638,59.3255480452048
112,Liljeholmsgränd 17,TK,Miljötekniska,Urinoar,Urinoar,Hägersten-Älvsjö,G111,Nej,Nej,18.0212572585575,59.31044766938977
113,"Mikrofonvägen
4",TK,Miljötekniska,Urinoar,Urinoar,Hägersten-Älvsjö,G112,Nej,Nej,17.997006895962013,59.29773242198956
114,Nioörtsvägen 24,TK,Miljötekniska,Urinoar,Urinoar,Hägersten-Älvsjö,G113,Nej,Nej,18.01659898330466,59.30159223232426
115,Palmfeltsvägen 28 ,TK,Miljötekniska,Urinoar,Urinoar,Enskede-Årsta-Vantör,G115,Nej,Nej,18.070067753960785,59.28982636935906
116,Skidvägen 11,TK,Miljötekniska,Urinoar,Urinoar,Hägersten-Älvsjö,G116,Nej,Nej,17.97621771890933,59.2942559600224
117,Sockenplan 370,TK,Miljötekniska,Urinoar,Urinoar,Enskede-Årsta-Vantör,G118,Nej,Nej,18.07070008382124,59.28322756935224
118,Trollesundsvägen 16 (under tåg bron),TK,Miljötekniska,Urinoar,Urinoar,Farsta,G120,Nej,Nej,18.049568275705965,59.27010949477258
119,Valhallavägen/ Drottning Sofias väg - i allén,TK,Miljötekniska,Urinoar,Urinoar,Östermalm,G121,Nej,Nej,18.076691381537394,59.34440433427465
120,Olof Palmes Gata 31 - Norra bantorget,TK,Miljötekniska,Urinoar,Urinoar,Norrmalm,G114,Nej,Nej,18.0545592685505,59.334622669691036
121,"Västertorpsvägen 70 
(utanför T-bannan)",TK,Miljötekniska,Urinoar,Urinoar,Hägersten-Älvsjö,G122,Nej,Nej,17.965023849142572,59.29053149686092
122,Ellen Keys gata 46,TK,Miljötekniska,Urinoar,Urinoar,Hägersten-Älvsjö,G104,Nej,Nej,17.965223554880616,59.28595394658388
123,Skarpskyttestigen 6 - Tantobadet,TK,Danfo,Toalett,Övrigt,Södermalm,G081,Nej,Nej,18.03815153258516,59.3127204905019
124,Skånegatan 70,TK,Miljötekniska,Urinoar,Urinoar,Södermalm,G117,Nej,Nej,18.076239598999415,59.31185627057189
125,Djurgårdsvägen 60,TK,Miljötekniska,Urinoar,Urinoar,Norra innerstaden,G103,Nej,Nej,18.09554563546132,59.32600965859614
126,Karlavägen 40,TK,Miljötekniska,Urinoar,Urinoar,Östermalm,G107,Nej,Nej,18.078655627104702,59.33996215325416
127,Söder Mälarstrand 115 - Under Västerbron,TK,Miljötekniska,Urinoar,Urinoar,Södermalm,G119,Nej,Nej,18.03152037631665,59.319403407075
128,Rågsved T-station,TK,Miljötekniska,Urinoar,Urinoar,Farsta,G115,Nej,Nej,18.028212839249797,59.2562909637707
129,Hamngatan 2 - Nybroplan,Danfo,Danfo,Toalett,Dubbel,Norra innerstaden,G055,Ja,Ja,18.075281245450324,59.33287182212577
131,Akallastigen 6 - Akalla By,Danfo,Danfo,Toalett,Enkel,Järva,G099,Nej,Nej,17.91141510862351,59.41318653073105
133,Husbystigen 9 - Husby Gård,Danfo,Danfo,Toalett,Enkel,Järva,G098,Nej,Nej,17.918690571292796,59.40723790591508
136,Mälartorget 19,Danfo,Danfo,Toalett,Dubbel,Södermalm,G049,Nej,Ja,18.069095585536243,59.32273794019752
137,Slottsbacken/Österlånggatan,Danfo,Danfo,Toalett,Trippel,Södermalm,G053,Ja,Nej,18.073064748658403,59.32612384370555
138,Österlånggatan 45 - Benickebrinken,Danfo,Danfo,Toalett,Dubbel,Södermalm,G091,Nej,Nej,18.07363801670329,59.32345564541193
140,Medborgarplatsen 54,Danfo,Danfo,Toalett,Dubbel,Södermalm,G063,Ja,Ja,18.072732727404738,59.31495025852274
141,Skånegatan 79 - Nytorget,Danfo,Danfo,Toalett,Enkel,Södermalm,G061,Ja,Ja,18.08319443060501,59.31266609001174
142,Allmänna Gränd - Djurgården,Danfo,Danfo,Toalett,Trippel,Norra innerstaden,G077,Nej,Nej,18.095808671297178,59.32458595614204
143,Elersvägen 50 - Kristineberg,Danfo,Danfo,Toalett,null,Kungsholmen,G082,Nej,Nej,18.00200044681012,59.338162523664344
144,Bredängs Alle under TB,Danfo,Danfo,Toalett,null,Skärholmen,G058,Nej,Nej,17.933599602663282,59.2952102080093
